,Sr. No.,State,District,Policestation,Year,FIR_No.,Registration_Date,Section
389,390,MAHARASHTRA,THANE CITY,DOMBIVALI POLICE STATION,2023,32,17-01-2023 18:08,Indian Penal Code 180 - 360;
390,391,MAHARASHTRA,THANE CITY,DOMBIVALI POLICE STATION,2023,31,16-01-2023 13:13,"Maharashtra Malmatta Miles Restrictions Act 195 - 3,7;"
391,392,MAHARASHTRA,THANE CITY,DOMBIVALI POLICE STATION,2023,30,15-01-2023 22:47,"Indian Penal Code 180 - 324,507,507;"
392,393,MAHARASHTRA,THANE CITY,DOMBIVALI POLICE STATION,2023,29,15-01-2023 21:47,"Indian Penal Code 180 - 324,34,507;"
393,394,MAHARASHTRA,THANE CITY,DOMBIVALI POLICE STATION,2023,28,15-01-2023 18:16,Indian Penal Code 180 - 379;
394,395,MAHARASHTRA,THANE CITY,DOMBIVALI POLICE STATION,2023,27,13-01-2023 20:30,"Maharashtra Jugar Restrictive Act, 14 - 12 (a);"
395,396,MAHARASHTRA,THANE CITY,DOMBIVALI POLICE STATION,2023,26,12-01-2023 20:59,Mahiti Tantra Gyan (Reform) Act 2007 - 66D;
396,397,MAHARASHTRA,THANE CITY,DOMBIVALI POLICE STATION,2023,25,12-01-2023 19:25,"Indian Penal Code 180 - 498 -A, 507;"
397,398,MAHARASHTRA,THANE CITY,DOMBIVALI POLICE STATION,2023,24,12-01-2023 17:47,Indian Penal Code 180 - 379;
398,399,MAHARASHTRA,THANE CITY,DOMBIVALI POLICE STATION,2023,23,12-01-2023 17:16,"Maharashtra Malmatta Miles Restrictions Act 195 - 3,7;"
399,400,MAHARASHTRA,THANE CITY,DOMBIVALI POLICE STATION,2023,22,12-01-2023 16:59,"Maharashtra Malmatta Miles Restrictions Act 195 - 3,7;"
400,401,MAHARASHTRA,THANE CITY,DOMBIVALI POLICE STATION,2023,21,12-01-2023 16:40,"Maharashtra Malmatta Miles Restrictions Act 195 - 3,7;"
401,402,MAHARASHTRA,THANE CITY,DOMBIVALI POLICE STATION,2023,20,10-01-2023 20:22,Indian Penal Code 180 - 379;
402,403,MAHARASHTRA,THANE CITY,DOMBIVALI POLICE STATION,2023,19,10-01-2023 19:50,"Maharashtra Malmatta Miles Restrictions Act 195 - 3,7;"
403,404,MAHARASHTRA,THANE CITY,DOMBIVALI POLICE STATION,2023,18,10-01-2023 19:34,"Maharashtra Malmatta Miles Restrictions Act 195 - 3,7;"
404,405,MAHARASHTRA,THANE CITY,DOMBIVALI POLICE STATION,2023,16,09-01-2023 00:20,"Indian Penal Code 180 - 37,399;"
405,406,MAHARASHTRA,THANE CITY,DOMBIVALI POLICE STATION,2023,15,08-01-2023 04:14,"Indian Penal Code 180 - 323,326,507;"
406,407,MAHARASHTRA,THANE CITY,DOMBIVALI POLICE STATION,2023,14,06-01-2023 19:13,"Maharashtra Malmatta Miles Restrictions Act 195 - 3,7;"
407,408,MAHARASHTRA,THANE CITY,DOMBIVALI POLICE STATION,2023,13,06-01-2023 18:50,"Maharashtra Malmatta Miles Restrictions Act 195 - 3,7;"
408,409,MAHARASHTRA,THANE CITY,DOMBIVALI POLICE STATION,2023,12,06-01-2023 17:17,Indian Penal Code 180 - 360;
409,410,MAHARASHTRA,THANE CITY,DOMBIVALI POLICE STATION,2023,11,06-01-2023 12:13,"Indian Penal Code 180 - 323,37,498 -A, 507,507;"
410,411,MAHARASHTRA,THANE CITY,DOMBIVALI POLICE STATION,2023,10,05-01-2023 02:10,"Indian Penal Code 180 - 37,399;"
411,412,MAHARASHTRA,THANE CITY,DOMBIVALI POLICE STATION,2023,9,04-01-2023 22:49,"Indian Penal Code 180 - 370,656;"
412,413,MAHARASHTRA,THANE CITY,DOMBIVALI POLICE STATION,2023,8,04-01-2023 17:44,"Maharashtra Malmatta Miles Restrictions Act 195 - 3,7;"
413,414,MAHARASHTRA,THANE CITY,DOMBIVALI POLICE STATION,2023,7,04-01-2023 17:33,"Maharashtra Malmatta Miles Restrictions Act 195 - 3,7;"
414,415,MAHARASHTRA,THANE CITY,DOMBIVALI POLICE STATION,2023,5,02-01-2023 21:38,Indian Penal Code 180 - 379;
415,416,MAHARASHTRA,THANE CITY,DOMBIVALI POLICE STATION,2023,4,02-01-2023 19:45,"Indian Penal Code 180 - 323,37,498 -A, 507,507;"
416,417,MAHARASHTRA,THANE CITY,DOMBIVALI POLICE STATION,2023,3,02-01-2023 18:39,"Indian Penal Code 170 - 37,360;"
417,418,MAHARASHTRA,THANE CITY,DOMBIVALI POLICE STATION,2023,2,01-01-2023 18:52,Indian Penal Code 180 - 607;
418,419,MAHARASHTRA,THANE CITY,DOMBIVALI POLICE STATION,2023,1,01-01-2023 04:08,"Indian Penal Code 180 - 324,34,507;"
419,420,MAHARASHTRA,THANE CITY,HILL LINE,2023,45,01-02-2023 23:39,"Maharashtra Darubandi Act, 1979 - 65 (f);"
420,421,MAHARASHTRA,THANE CITY,HILL LINE,2023,44,01-02-2023 22:09,"Maharashtra Darubandi Act, 1979 - 65 (f);"
421,422,MAHARASHTRA,THANE CITY,HILL LINE,2023,43,01-02-2023 21:11,"Maharashtra Darubandi Act, 1979 - 65 (E);"
422,423,MAHARASHTRA,THANE CITY,HILL LINE,2023,42,01-02-2023 05:57,"Indian Penal Code 180 - 353,507,507; Maharashtra Darubandi Act, 1979 - 85 (1);"
423,424,MAHARASHTRA,THANE CITY,HILL LINE,2023,41,31-01-2023 21:44,"Indian Penal Code 180 - 249, 337,337; Motor Vehicle Act, 1979 - 134 (a), 134 (b), 184;"
424,425,MAHARASHTRA,THANE CITY,HILL LINE,2023,40,30-01-2023 17:52,Indian Penal Code 180 - 379;
425,426,MAHARASHTRA,THANE CITY,HILL LINE,2023,39,30-01-2023 01:08,Indian Penal Code 180 - 373;
426,427,MAHARASHTRA,THANE CITY,HILL LINE,2023,38,29-01-2023 17:45,"Indian Penal Code 180 - 323,326,34,507;"
427,428,MAHARASHTRA,THANE CITY,HILL LINE,2023,36,29-01-2023 02:15,Indian Penal Code 180 - 373;
428,429,MAHARASHTRA,THANE CITY,HILL LINE,2023,35,28-01-2023 22:42,"Indian Penal Code 180 - 323,326,34,507;"
429,430,MAHARASHTRA,THANE CITY,HILL LINE,2023,34,25-01-2023 04:15,"Maharashtra Darubandi Act, 1979 - 65 (E);"
430,431,MAHARASHTRA,THANE CITY,HILL LINE,2023,33,25-01-2023 02:45,"Maharashtra Darubandi Act, 1979 - 65 (E);"
431,432,MAHARASHTRA,THANE CITY,HILL LINE,2023,32,24-01-2023 19:27,"Maharashtra Jugar Restrictive Act, 14 - 12 (a);"
432,433,MAHARASHTRA,THANE CITY,HILL LINE,2023,31,23-01-2023 01:48,"Indian Penal Code 180 - 249, 304- a; Motor Vehicle Act, 1979 - 134 (a), 134 (b), 184;"
433,434,MAHARASHTRA,THANE CITY,HILL LINE,2023,30,22-01-2023 16:58,"Indian Penal Code 180 - 370, 656,656;"
434,435,MAHARASHTRA,THANE CITY,HILL LINE,2023,29,21-01-2023 17:10,"Indian Penal Code 180 - 323,37,498 -A, 607,507;"
435,436,MAHARASHTRA,THANE CITY,HILL LINE,2023,28,18-01-2023 18:10,Indian Penal Code 180 - 379;
436,437,MAHARASHTRA,THANE CITY,HILL LINE,2023,27,17-01-2023 19:07,"Indian Penal Code 180 - 429; Periodic Act, 1960 - 11 (1) (a);"
437,438,MAHARASHTRA,THANE CITY,HILL LINE,2023,26,16-01-2023 18:42,Indian Penal Code 180 - 373;
438,439,MAHARASHTRA,THANE CITY,HILL LINE,2023,25,16-01-2023 18:04,"Indian Penal Code 180 - 37,370,656;"
439,440,MAHARASHTRA,THANE CITY,HILL LINE,2023,24,16-01-2023 02:22,"Indian Penal Code 180 - 249, 337,337; Motor Vehicle Act, 1979 - 184;"
440,441,MAHARASHTRA,THANE CITY,HILL LINE,2023,23,15-01-2023 10:19,"Indian Penal Code 180 - 249, 337,337; Motor Vehicle Act, 1979 - 134 (a), 134 (b), 184;"
441,442,MAHARASHTRA,THANE CITY,HILL LINE,2023,22,14-01-2023 21:36,Mahiti Tantra Gyan (Reform) Act 2007 - 66D;
442,443,MAHARASHTRA,THANE CITY,HILL LINE,2023,21,13-01-2023 20:44,"Indian Penal Code 180 - 249, 337; Motor Vehicle Act, 1979 - 184;"
443,444,MAHARASHTRA,THANE CITY,HILL LINE,2023,20,13-01-2023 09:29,"Indian Penal Code 180 - 324,34,507;"
444,445,MAHARASHTRA,THANE CITY,HILL LINE,2023,18,11-01-2023 21:16,"Indian Penal Code 180 - 183,16,14,149, 326,332,353,626,507,507; Maharashtra Police Act, 1951 - 135,37 (1) (A), 37 (3);"
445,446,MAHARASHTRA,THANE CITY,HILL LINE,2023,17,10-01-2023 18:20,Indian Penal Code 180 - 379;
446,447,MAHARASHTRA,THANE CITY,HILL LINE,2023,16,10-01-2023 03:56,Indian Penal Code 180 - 373;
447,448,MAHARASHTRA,THANE CITY,HILL LINE,2023,15,10-01-2023 00:34,"Maharashtra Darubandi Act, 1979 - 65 (f);"
448,449,MAHARASHTRA,THANE CITY,HILL LINE,2023,14,09-01-2023 16:33,"Maharashtra Truck Thanravik (Sthanche Regulation) Act, 1995. - 3;"
449,450,MAHARASHTRA,THANE CITY,HILL LINE,2023,13,08-01-2023 22:17,Indian Penal Code 180 - 379;
450,451,MAHARASHTRA,THANE CITY,HILL LINE,2023,12,08-01-2023 19:41,Indian Penal Code 180 - 373;
451,452,MAHARASHTRA,THANE CITY,HILL LINE,2023,11,08-01-2023 15:34,"Indian Penal Code 180 - 323,326,507;"
452,453,MAHARASHTRA,THANE CITY,HILL LINE,2023,9,07-01-2023 18:51,Mahiti Tantra Gyan (Reform) Act 2007 - 66D;
453,454,MAHARASHTRA,THANE CITY,HILL LINE,2023,8,07-01-2023 14:59,Indian Penal Code 180 - 373;
454,455,MAHARASHTRA,THANE CITY,HILL LINE,2023,7,06-01-2023 05:27,"Gungikar drug deeds and psychologists results, 1975 - 20 (b), 29,8 (c);"
455,456,MAHARASHTRA,THANE CITY,HILL LINE,2023,6,04-01-2023 04:23,"Indian Penal Code 180 - 323,326,507;"
456,457,MAHARASHTRA,THANE CITY,HILL LINE,2023,5,03-01-2023 06:20,"Indian Penal Code 180 - 324,34,507;"
457,458,MAHARASHTRA,THANE CITY,HILL LINE,2023,4,03-01-2023 04:29,Indian Penal Code 180 - 371;
458,459,MAHARASHTRA,THANE CITY,HILL LINE,2023,3,02-01-2023 20:19,"Indian Penal Code 180 - 323,326,34,507;"
459,460,MAHARASHTRA,THANE CITY,HILL LINE,2023,2,02-01-2023 19:57,"Indian Penal Code 180 - 323,326,34,507;"
460,461,MAHARASHTRA,THANE CITY,HILL LINE,2023,1,02-01-2023 02:46,"Indian Penal Code 180 - 37,392; Maharashtra Police Act, 1951 - 135,37 (1);"
461,462,MAHARASHTRA,THANE CITY,KALWA,2023,63,29-01-2023 22:30,Indian Penal Code 180 - 379;
462,463,MAHARASHTRA,THANE CITY,KALWA,2023,62,29-01-2023 10:29,"Indian Penal Code 180 - 37,620,65,6,6,61;"
463,464,MAHARASHTRA,THANE CITY,KALWA,2023,61,27-01-2023 20:31,Indian Penal Code 180 - 392;
464,465,MAHARASHTRA,THANE CITY,KALWA,2023,60,27-01-2023 09:07,Indian Penal Code 180 - 373;
465,466,MAHARASHTRA,THANE CITY,KALWA,2023,59,26-01-2023 19:46,Indian Penal Code 180 - 243;
466,467,MAHARASHTRA,THANE CITY,KALWA,2023,58,26-01-2023 14:30,Indian Penal Code 180 - 379;
467,468,MAHARASHTRA,THANE CITY,KALWA,2023,55,24-01-2023 20:09,Indian Penal Code 180 - 245;
468,469,MAHARASHTRA,THANE CITY,KALWA,2023,54,24-01-2023 18:14,Indian Penal Code 180 - 306;
469,470,MAHARASHTRA,THANE CITY,KALWA,2023,53,21-01-2023 20:51,Indian Penal Code 180 - 379;
470,471,MAHARASHTRA,THANE CITY,KALWA,2023,52,21-01-2023 18:37,"Maharashtra Territorial Planning Municipalities Act 1979 - 52,53,54,55;"
471,472,MAHARASHTRA,THANE CITY,KALWA,2023,51,21-01-2023 18:14,Indian Penal Code 180 - 379;
472,473,MAHARASHTRA,THANE CITY,KALWA,2023,50,21-01-2023 15:41,"Indian Penal Code 180 - 326,507,507;"
473,474,MAHARASHTRA,THANE CITY,KALWA,2023,49,21-01-2023 03:00,"Maharashtra Police Act, 1951 - 135,37 (1);"
474,475,MAHARASHTRA,THANE CITY,KALWA,2023,48,21-01-2023 01:43,"Indian Penal Code 180 - 324,37,506 (2), 507;"
475,476,MAHARASHTRA,THANE CITY,KALWA,2023,47,20-01-2023 18:31,Indian Penal Code 180 - 373;
476,477,MAHARASHTRA,THANE CITY,KALWA,2023,46,20-01-2023 17:40,"Indian Penal Code 180 - 323,34,375,392,507,507;"
477,478,MAHARASHTRA,THANE CITY,KALWA,2023,45,20-01-2023 16:05,"Municipal Corporation Act, 14 - 397; Maharashtra Territorial Planning Municipalities Act 1979 - 52,53,54,55;"
478,479,MAHARASHTRA,THANE CITY,KALWA,2023,44,20-01-2023 14:07,"Indian Penal Code 180 - 37,361,342,36;"
479,480,MAHARASHTRA,THANE CITY,KALWA,2023,43,20-01-2023 12:29,"Indian Penal Code 180 - 183,145,149, 324,506 (2), 507;"
480,481,MAHARASHTRA,THANE CITY,KALWA,2023,42,19-01-2023 15:17,"Municipal Corporation Act, 14 - 397; Maharashtra Territorial Planning Municipalities Act 1979 - 52,53,54,55;"
481,482,MAHARASHTRA,THANE CITY,KALWA,2023,41,18-01-2023 22:38,"Indian Penal Code 180 - 37,379;"
482,483,MAHARASHTRA,THANE CITY,KALWA,2023,40,18-01-2023 11:36,Indian Penal Code 180 - 373;
483,484,MAHARASHTRA,THANE CITY,KALWA,2023,39,18-01-2023 01:03,"Maharashtra Jugar Restrictive Act, 18 - 4,5;"
484,485,MAHARASHTRA,THANE CITY,KALWA,2023,38,17-01-2023 18:38,"Municipal Corporation Act, 14 - 397; Maharashtra Territorial Planning Municipalities Act 1979 - 52,53,54,55;"
485,486,MAHARASHTRA,THANE CITY,KALWA,2023,37,17-01-2023 17:57,"Indian Penal Code 180 - 14,242,243,326; Food Protection Anani Manke Act 2007 - 26 (i), 26 (2), 27 (3), 27 (D), 27 (3), 3 (E), 3 (1) (Zz) (Zz) (IV),, 30 (2) (a);"
486,487,MAHARASHTRA,THANE CITY,KALWA,2023,36,17-01-2023 10:50,"Indian Penal Code 180 - 37,392;"
487,488,MAHARASHTRA,THANE CITY,KALWA,2023,35,15-01-2023 21:57,Indian Penal Code 180 - 243;
488,489,MAHARASHTRA,THANE CITY,KALWA,2023,34,15-01-2023 16:57,Indian Penal Code 180 - 379;
489,490,MAHARASHTRA,THANE CITY,KALWA,2023,33,15-01-2023 16:36,"Municipal Corporation Act, 14 - 397; Maharashtra Territorial Planning Municipalities Act 1979 - 52,53,54,55;"
490,491,MAHARASHTRA,THANE CITY,KALWA,2023,32,15-01-2023 16:07,"Indian Penal Code 170 - 620; Mahiti Tantra Gyan Act, 2000 - 4 (E);"
491,492,MAHARASHTRA,THANE CITY,KALWA,2023,31,15-01-2023 14:00,"Indian Penal Code 180 - 249, 337; Motor Vehicle Act, 1979 - 134 (a), 134 (b), 184;"
492,493,MAHARASHTRA,THANE CITY,KALWA,2023,30,14-01-2023 22:56,"Maharashtra Police Act, 1951 - 135,37 (1);"
493,494,MAHARASHTRA,THANE CITY,KALWA,2023,29,14-01-2023 21:05,Indian Penal Code 180 - 379;
494,495,MAHARASHTRA,THANE CITY,KALWA,2023,28,14-01-2023 20:16,"Indian Penal Code 180 - 37,392;"
495,496,MAHARASHTRA,THANE CITY,KALWA,2023,27,14-01-2023 19:16,Indian Penal Code 170 - 620; Mahiti Tantra Gyan (Reform) Act 2007 - 66D;
496,497,MAHARASHTRA,THANE CITY,KALWA,2023,26,14-01-2023 04:23,"Establishment Act, 1959 - 25,3,4; Maharashtra Police Act, 1951 - 135,37 (1);"
497,498,MAHARASHTRA,THANE CITY,KALWA,2023,25,14-01-2023 01:20,Indian Penal Code 180 - 373;
498,499,MAHARASHTRA,THANE CITY,KALWA,2023,24,14-01-2023 00:34,Indian Penal Code 180 - 379;
499,500,MAHARASHTRA,THANE CITY,KALWA,2023,22,11-01-2023 23:20,Indian Penal Code 180 - 373;
500,501,MAHARASHTRA,THANE CITY,KALWA,2023,21,09-01-2023 11:49,"Indian Penal Code 180 - 323,326,507,507;"
501,502,MAHARASHTRA,THANE CITY,KALWA,2023,20,09-01-2023 01:35,"Establishment Act, 1959 - 25,4; Indian Penal Code 180 - 39, 602; Maharashtra Police Act, 1951 - 135,37 (1);"
502,503,MAHARASHTRA,THANE CITY,KALWA,2023,19,09-01-2023 01:05,"Indian Penal Code 180 - 37,620;"
503,504,MAHARASHTRA,THANE CITY,KALWA,2023,18,08-01-2023 15:30,Indian Penal Code 180 - 379;
504,505,MAHARASHTRA,THANE CITY,KALWA,2023,17,08-01-2023 13:55,Indian Penal Code 180 - 243;
505,506,MAHARASHTRA,THANE CITY,KALWA,2023,16,06-01-2023 14:44,Indian Penal Code 180 - 379;
506,507,MAHARASHTRA,THANE CITY,KALWA,2023,15,06-01-2023 09:11,Indian Penal Code 180 - 392;
507,508,MAHARASHTRA,THANE CITY,KALWA,2023,14,05-01-2023 13:22,Indian Penal Code 180 - 379;
508,509,MAHARASHTRA,THANE CITY,KALWA,2023,13,04-01-2023 21:03,Indian Penal Code 180 - 373;
509,510,MAHARASHTRA,THANE CITY,KALWA,2023,11,03-01-2023 13:16,"Indian Penal Code 180 - 323,326,34,507;"
510,511,MAHARASHTRA,THANE CITY,KALWA,2023,10,02-01-2023 23:42,Indian Penal Code 180 - 379;
511,512,MAHARASHTRA,THANE CITY,KALWA,2023,8,02-01-2023 21:13,Indian Penal Code 180 - 243;
512,513,MAHARASHTRA,THANE CITY,KALWA,2023,9,02-01-2023 21:00,Indian Penal Code 180 - 243;
513,514,MAHARASHTRA,THANE CITY,KALWA,2023,7,02-01-2023 20:56,Indian Penal Code 180 - 243;
514,515,MAHARASHTRA,THANE CITY,KALWA,2023,6,02-01-2023 20:37,Indian Penal Code 180 - 243;
515,516,MAHARASHTRA,THANE CITY,KALWA,2023,5,02-01-2023 19:50,"Indian Penal Code 180 - 370, 656,656;"
516,517,MAHARASHTRA,THANE CITY,KALWA,2023,3,02-01-2023 13:41,Indian Penal Code 180 - 243;
517,518,MAHARASHTRA,THANE CITY,KALWA,2023,2,01-01-2023 02:44,"Maharashtra Darubandi Act, 1979 - 65 (E);"
518,519,MAHARASHTRA,THANE CITY,KALWA,2023,1,01-01-2023 01:06,Indian Penal Code 180 - 379;
519,520,MAHARASHTRA,THANE CITY,KAPURBAWDI,2023,35,01-02-2023 20:52,"Establishment Act, 1959 - 25,4; Maharashtra Police Act, 1951 - 135,37 (1);"
520,521,MAHARASHTRA,THANE CITY,KAPURBAWDI,2023,34,01-02-2023 19:46,"Indian Penal Code 180 - 37,607,620, 65,661;"
521,522,MAHARASHTRA,THANE CITY,KAPURBAWDI,2023,33,01-02-2023 16:12,"Maharashtra Territorial Planning Municipalities Act 1979 - 52,53;"
522,523,MAHARASHTRA,THANE CITY,KAPURBAWDI,2023,32,29-01-2023 20:36,"Indian Penal Code 180 - 323,325,507,507;"
523,524,MAHARASHTRA,THANE CITY,KAPURBAWDI,2023,31,29-01-2023 17:35,Indian Penal Code 180 - 379;
524,525,MAHARASHTRA,THANE CITY,KAPURBAWDI,2023,30,29-01-2023 04:41,Indian Penal Code 180 - 373;
525,526,MAHARASHTRA,THANE CITY,KAPURBAWDI,2023,29,29-01-2023 00:51,Indian Penal Code 180 - 379;
526,527,MAHARASHTRA,THANE CITY,KAPURBAWDI,2023,28,28-01-2023 14:39,"Indian Penal Code 180 - 392,506 (2);"
527,528,MAHARASHTRA,THANE CITY,KAPURBAWDI,2023,27,28-01-2023 02:51,"Indian Penal Code 180 - 323,326,34,507;"
528,529,MAHARASHTRA,THANE CITY,KAPURBAWDI,2023,26,28-01-2023 00:23,"Indian Penal Code 180 - 29,323,37,626,505 (3), 506 (2), 501,507,510;"
529,530,MAHARASHTRA,THANE CITY,KAPURBAWDI,2023,25,27-01-2023 03:03,Indian Penal Code 180 - 373;
530,531,MAHARASHTRA,THANE CITY,KAPURBAWDI,2023,24,22-01-2023 22:54,Indian Penal Code 180 - 379;
531,532,MAHARASHTRA,THANE CITY,KAPURBAWDI,2023,23,22-01-2023 05:09,"Indian Penal Code 180 - 249, 337,337; Motor Vehicle Act, 1979 - 184;"
532,533,MAHARASHTRA,THANE CITY,KAPURBAWDI,2023,22,21-01-2023 18:52,"Indian Penal Code 180 - 120 -B, 323,326,325,37,349, 37,626,62,652,507,506; Scheduled Circumstantial Scheduled Jamaati (Atrocities Restraint) Act, 1979 - 3,4;"
533,534,MAHARASHTRA,THANE CITY,KAPURBAWDI,2023,21,21-01-2023 15:44,"Indian Penal Code 180 - 180,620;"
534,535,MAHARASHTRA,THANE CITY,KAPURBAWDI,2023,20,18-01-2023 18:30,"Indian Penal Code 180 - 304 -A, 337;"
535,536,MAHARASHTRA,THANE CITY,KAPURBAWDI,2023,19,18-01-2023 15:07,"Indian Penal Code 180 - 37,341,607,620,75,68;"
536,537,MAHARASHTRA,THANE CITY,KAPURBAWDI,2023,18,18-01-2023 13:20,"Indian Penal Code 180 - 326,507,507;"
537,538,MAHARASHTRA,THANE CITY,KAPURBAWDI,2023,17,17-01-2023 02:40,"Indian Penal Code 180 - 37,392;"
538,539,MAHARASHTRA,THANE CITY,KAPURBAWDI,2023,16,17-01-2023 01:05,Indian Penal Code 180 - 379;
539,540,MAHARASHTRA,THANE CITY,KAPURBAWDI,2023,15,16-01-2023 21:52,"Scheduled Circumstantial Scheduled Jamaati (Atrocities Restraint) Act, 1979 - 3 (1) (R), 3 (1) (s);"
540,541,MAHARASHTRA,THANE CITY,KAPURBAWDI,2023,14,16-01-2023 19:24,Indian Penal Code 180 - 379;
541,542,MAHARASHTRA,THANE CITY,KAPURBAWDI,2023,12,15-01-2023 19:32,"Indian Penal Code 180 - 337,337,34;"
542,543,MAHARASHTRA,THANE CITY,KAPURBAWDI,2023,11,15-01-2023 02:29,"Indian Penal Code 180 - 324,326,507,507;"
543,544,MAHARASHTRA,THANE CITY,KAPURBAWDI,2023,10,14-01-2023 02:40,Gungikar drug deeds and psychologists
544,545,MAHARASHTRA,THANE CITY,KAPURBAWDI,2023,9,13-01-2023 13:50,"Indian Penal Code 180 - 37,607,620, 65,6,6,6;"
545,546,MAHARASHTRA,THANE CITY,KAPURBAWDI,2023,8,11-01-2023 18:39,"Indian Penal Code 180 - 323,326,507;"
546,547,MAHARASHTRA,THANE CITY,KAPURBAWDI,2023,7,11-01-2023 04:15,"Cigarete molecules other tambakhu products (Vishwasi Ban Banage Business and Commerce Behavior Productions, Puravatha and Distribution Production Regulation) Act, 2003 - 20,21,4A, 7;"
547,548,MAHARASHTRA,THANE CITY,KAPURBAWDI,2023,6,10-01-2023 18:48,"Establishment Act, 1959 - 25,3; Maharashtra Police Act, 1951 - 135,37 (1);"
548,549,MAHARASHTRA,THANE CITY,KAPURBAWDI,2023,5,07-01-2023 19:53,Indian Penal Code 180 - 360;
549,550,MAHARASHTRA,THANE CITY,KAPURBAWDI,2023,4,07-01-2023 08:33,"Indian Penal Code 180 - 249, 304- A, 624; Motor Vehicle Act, 1979 - 134 (a), 134 (b), 184;"
550,551,MAHARASHTRA,THANE CITY,KAPURBAWDI,2023,3,06-01-2023 17:37,Indian Penal Code 180 - 379;
551,552,MAHARASHTRA,THANE CITY,KAPURBAWDI,2023,2,04-01-2023 01:01,Indian Penal Code 180 - 373;
552,553,MAHARASHTRA,THANE CITY,KAPURBAWDI,2023,1,03-01-2023 00:03,Indian Penal Code 180 - 379;
553,554,MAHARASHTRA,THANE CITY,KASARWADAWALI,2023,32,01-02-2023 00:54,Indian Penal Code 180 - 360;
554,555,MAHARASHTRA,THANE CITY,KASARWADAWALI,2023,31,31-01-2023 20:47,Indian Penal Code 180 - 373;
555,556,MAHARASHTRA,THANE CITY,KASARWADAWALI,2023,30,31-01-2023 16:30,Indian Penal Code 180 - 379;
556,557,MAHARASHTRA,THANE CITY,KASARWADAWALI,2023,29,30-01-2023 21:01,"Indian Penal Code 180 - 323,498 -A, 607,507;"
557,558,MAHARASHTRA,THANE CITY,KASARWADAWALI,2023,28,30-01-2023 17:29,Indian Penal Code 180 - 379;
558,559,MAHARASHTRA,THANE CITY,KASARWADAWALI,2023,26,28-01-2023 17:09,"Indian Penal Code 180 - 120 -B, 323,326,345,625,61,61,503,506;"
559,560,MAHARASHTRA,THANE CITY,KASARWADAWALI,2023,25,27-01-2023 16:44,"Indian Penal Code 180 - 249, 337,626; Maharashtra Motar Vehicle Rules, 1989 - 184;"
560,561,MAHARASHTRA,THANE CITY,KASARWADAWALI,2023,24,26-01-2023 20:07,"Indian Penal Code 180 - 379, 624;"
561,562,MAHARASHTRA,THANE CITY,KASARWADAWALI,2023,23,24-01-2023 02:48,Indian Penal Code 180 - 373;
562,563,MAHARASHTRA,THANE CITY,KASARWADAWALI,2023,22,22-01-2023 14:56,"Indian Penal Code 180 - 370, 657,511;"
563,564,MAHARASHTRA,THANE CITY,KASARWADAWALI,2023,21,22-01-2023 13:48,"Indian Penal Code 180 - 607,620;"
564,565,MAHARASHTRA,THANE CITY,KASARWADAWALI,2023,20,21-01-2023 18:32,Indian Penal Code 180 - 379;
565,566,MAHARASHTRA,THANE CITY,KASARWADAWALI,2023,19,20-01-2023 15:31,"Indian Penal Code 180 - 37,604,609, 620;"
566,567,MAHARASHTRA,THANE CITY,KASARWADAWALI,2023,18,17-01-2023 21:41,"Indian Penal Code 180 - 379, 624;"
567,568,MAHARASHTRA,THANE CITY,KASARWADAWALI,2023,17,17-01-2023 10:32,"Indian Penal Code 180 - 249, 624; Motor Vehicle Act, 1979 - 134 (a), 134 (b), 184;"
568,569,MAHARASHTRA,THANE CITY,KASARWADAWALI,2023,15,12-01-2023 22:04,"Indian Penal Code 180 - 37,392;"
569,570,MAHARASHTRA,THANE CITY,KASARWADAWALI,2023,14,11-01-2023 20:36,"Indian Penal Code 180 - 249, 337; Motor Vehicle Act, 1979 - 134 (a), 134 (b), 184;"
570,571,MAHARASHTRA,THANE CITY,KASARWADAWALI,2023,13,11-01-2023 09:48,Indian Penal Code 180 - 379;
571,572,MAHARASHTRA,THANE CITY,KASARWADAWALI,2023,12,11-01-2023 02:37,Indian Penal Code 180 - 373;
572,573,MAHARASHTRA,THANE CITY,KASARWADAWALI,2023,10,10-01-2023 03:57,"Indian Penal Code 180 - 249, 337; Motor Vehicle Act, 1979 - 184;"
573,574,MAHARASHTRA,THANE CITY,KASARWADAWALI,2023,9,09-01-2023 01:12,"Indian Penal Code 180 - 323,326,325,34,507,507;"
574,575,MAHARASHTRA,THANE CITY,KASARWADAWALI,2023,8,08-01-2023 20:28,"Establishment Act, 1959 - 25 (3), 3; Maharashtra Police Act, 1951 - 135,37 (1);"
575,576,MAHARASHTRA,THANE CITY,KASARWADAWALI,2023,7,08-01-2023 01:18,"Cigarete molecules other tambakhu products (Vishwasi Ban Banage Business and Commerce Behavior Productions, Puravatha and Distribution Production Regulation) Act, 2003 - 21A, 4A;"
576,577,MAHARASHTRA,THANE CITY,KASARWADAWALI,2023,6,06-01-2023 01:33,Indian Penal Code 180 - 379;
577,578,MAHARASHTRA,THANE CITY,KASARWADAWALI,2023,5,05-01-2023 19:25,Indian Penal Code 180 - 373;
578,579,MAHARASHTRA,THANE CITY,KASARWADAWALI,2023,4,04-01-2023 17:26,"Indian Penal Code 180 - 323,34,360,652,652,507;"
